Year,MaleAge,FemaleAge
1928,44,22
1929,41,37
1930,62,28
1931,53,63
1932,47,32
1933,35,26
1934,34,31
1935,34,27
1936,49,27
1937,41,28
1938,37,30
1939,38,26
1940,34,29
1941,32,24
1942,40,38
1943,43,25
1944,48,29
1945,41,40
1946,39,30
1947,49,35
1948,57,32
1949,41,33
1950,38,29
1951,39,38
1952,52,54
1953,51,24
1954,35,25
1955,30,48
1956,39,41
1957,36,28
1958,43,41
1959,49,39
1960,36,29
1961,47,27
1962,31,31
1963,47,31
1964,37,29
1965,57,25
1966,42,35
1967,45,60
1968,42,61
1969,45,26
1970,62,35
1971,43,34
1972,42,34
1973,48,27
1974,49,37
1975,56,42
1976,38,41
1977,60,36
1978,30,32
1979,40,41
1980,42,33
1981,37,31
1982,76,74
1983,39,33
1984,53,49
1985,45,38
1986,36,61
1987,62,21
1988,43,41
1989,51,26
1990,32,80
1991,42,42
1992,54,29
1993,52,33
1994,37,36
1995,38,45
1996,32,49
1997,45,39
1998,60,34
1999,46,26
2000,40,25
2001,36,33
2002,47,35
2003,29,35
2004,43,28
2005,37,30
2006,38,29
2007,45,61
2008,50,32
2009,48,33
2010,60,45
2011,50,29
2012,39,62
2013,55,22
2014,44,44
2015,33,54
2016,41,26
